"연도, 월, 지역, 일시, 시간, 단일통행 승차, 하차, 전체, 환승통행 승차, 하차, 전체, 전체통행, 승차, 하차, 전체 등으로 구성되어 있음",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
구분,,,,,,,단일통행,,,환승통행,,,전체통행,,
년도,월,지역,노선,시•종점 (출발•도착지점),일시,시간,승차,하차,전체,승차,하차,전체,승차,하차,전체
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,01시~02시,5,25,30,5,20,25,10,45,55
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,05시~06시,59,0,59,7,0,7,66,0,66
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,06시~07시,361,101,462,64,11,75,425,112,537
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,07시~08시,360,395,755,116,79,195,476,474,950
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,08시~09시,430,368,798,170,195,365,600,563,1163
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,09시~10시,187,373,560,107,97,204,294,470,764
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,10시~11시,120,206,326,79,112,191,199,318,517
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,11시~12시,111,108,219,48,68,116,159,176,335
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,12시~13시,111,106,217,68,36,104,179,142,321
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,13시~14시,142,124,266,51,69,120,193,193,386
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,14시~15시,118,115,233,48,59,107,166,174,340
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,15시~16시,126,134,260,56,32,88,182,166,348
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,16시~17시,228,153,381,115,76,191,343,229,572
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,17시~18시,277,218,495,146,118,264,423,336,759
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,18시~19시,267,291,558,188,147,335,455,438,893
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,19시~20시,217,249,466,177,195,372,394,444,838
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,20시~21시,160,187,347,97,163,260,257,350,607
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,21시~22시,205,167,372,95,84,179,300,251,551
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,22시~23시,155,202,357,129,114,243,284,316,600
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,23시~24시,103,142,245,51,108,159,154,250,404
2024,3,수원시,5100,사색의광장-양재역.서초문화예술회관(중),평일,00시~01시,44,84,128,38,57,95,82,141,223
